gameId,title,genres,price,release_date
240,Ace Combat X: Skies of Deception,Action|Simulation,22.95,2006
241,Killzone: Liberation,Action|Strategy,16.95,2006
242,F.E.A.R.: First Encounter Assault Recon,Action,17.95,2006
243,NBA 2K7,Sports,7.95,2006
244,Tony Hawk's Project 8,Sports,14.95,2006
245,Avatar: The Last Airbender,Action,17.95,2006
246,Castlevania: Portrait of Ruin,Action,17.95,2006
247,Hitman: Blood Money,Action,22.95,2006
248,Rockstar Games presents Table Tennis,Sports,9.95,2006
249,Trauma Center: Second Opinion,Action|Simulation,17.95,2006
250,Tenchu Z,Action,14.95,2006
251,Elite Beat Agents,Action,9.95,2006
252,Street Fighter Alpha 3 MAX,Action,14.95,2006
253,Blue Dragon,Role-Playing (RPG),14.95,2006
254,The Lord of the Rings: The Battle for Middle Ea...,Strategy,19.95,2006
255,Prey,Action,14.95,2006
256,Over the Hedge,Adventure,16.95,2006
257,Capcom Classics Collection Reloaded,Action,17.95,2006
258,Pirates of the Caribbean: Dead Man's Chest,Action,14.95,2006
259,NHL 07 ,Sports,5.95,2006
260,Monster Hunter Freedom,Action|Strategy,12.95,2006
261,Chromehounds,Action|Simulation|Strategy,14.95,2006
262,Test Drive Unlimited,Racing,17.95,2006
263,Dragon Ball Z: Budokai Tenkaichi 2,Action,14.95,2006
264,Dragon Quest Monsters: Joker,Role-Playing (RPG),14.95,2006
265,Pirates of the Caribbean: Dead Man's Chest,Action,11.95,2006
266,NFL Street 3,Action|Sports,14.95,2006
267,Syphon Filter: Dark Mirror,Action,12.95,2006
268,NBA 07,Sports,6.95,2006
269,Ridge Racer 7,Racing,19.95,2006
270,The Outfit,Action,14.95,2006
271,Elebits,Action,14.95,2006
272,Tony Hawk's Downhill Jam,Racing|Sports,14.95,2006
273,The Sims 2: Pets,Simulation,17.95,2006
274,Tiger Woods PGA Tour 07,Sports,12.95,2006
275,Thrillville,Simulation|Strategy,14.95,2006
276,The Godfather: The Game,Action,17.95,2006
277,Rampage: Total Destruction,Action,16.95,2006
278,College Hoops 2K7,Sports,6.95,2006
279,Far Cry: Instincts - Predator,Action,17.95,2006
280,Full Auto,Action|Racing,16.95,2006
281,Age of Empires: The Age of Kings,Strategy,17.95,2006
282,Need for Speed: Carbon - Own the City,Action|Racing,14.95,2006
283,Brothers in Arms: D-Day,Action,6.95,2006
284,Family Guy Video Game!,Action,19.95,2006
285,Superman Returns,Action,7.95,2006
286,Over G Fighters,Simulation,17.95,2006
287,Final Fantasy XI Online,Action|Role-Playing (RPG),4.95,2006
288,Mystery Dungeon: Shiren the Wanderer,Action|Role-Playing (RPG),17.95,2006
289,Phoenix Wright: Ace Attorney - Justice for All,Adventure|Simulation,13.95,2006
290,Justice League Heroes,Action,17.95,2006
291,Valhalla Knights,Action|Role-Playing (RPG),16.95,2006
292,Genji: Days of the Blade,Action|Role-Playing (RPG),14.95,2006
293,Top Spin 2,Sports,12.95,2006
294,Field Commander,Strategy,14.95,2006
295,Children of Mana,Action|Role-Playing (RPG),16.95,2006
296,Valkyrie Profile: Lenneth,Role-Playing (RPG),22.95,2006
297,Monster House,Action,14.95,2006
298,Enchanted Arms,Role-Playing (RPG),17.95,2006
299,NHL 07,Sports,12.95,2006
300,Bust-a-Move Deluxe,Strategy,14.95,2006
301,Full Auto 2: Battlelines,Action|Racing,14.95,2006
302,Blitz: The League,Sports,14.95,2006
303,Star Trek Legacy,Action|Strategy,24.95,2006
304,Eragon,Action|Role-Playing (RPG),16.95,2006
305,Master of Illusion,Strategy,14.95,2006
306,Mega Man ZX,Action,19.95,2006
307,Untold Legends: The Warrior's Code,Action|Role-Playing (RPG),14.95,2006
308,Super Swing Golf,Sports,16.95,2006
309,X-Men: The Official Game,Action,14.95,2006
310,Untold Legends: Dark Kingdom,Action|Role-Playing (RPG),16.95,2006
311,Happy Feet,Action,14.95,2006
312,Open Season,Action,17.95,2006
313,Dungeon Siege: Throne of Agony,Role-Playing (RPG),24.95,2006
314,LocoRoco,Action|Strategy,17.95,2006
315,Dead or Alive: Xtreme 2,Racing|Sports,14.95,2006
316,Fuzion Frenzy 2,Action|Sports,14.95,2006
317,MotoGP '06,Racing|Simulation|Sports,14.95,2006
318,Lumines II,Strategy,14.95,2006
319,Major League Baseball 2K6,Sports,4.95,2006
320,Star Wars: Lethal Alliance,Action,17.95,2006
321,Worms: Open Warfare,Action|Strategy,17.95,2006
322,Eragon,Action,14.95,2006
323,Metal Slug Anthology,Action,16.95,2006
324,Open Season,Action,14.95,2006
325,Tom Clancy's Splinter Cell: Double Agent,Action,17.95,2006
326,Avatar: The Last Airbender,Action,17.95,2006
327,Lemmings,Strategy,17.95,2006
328,Mega Man Powered Up,Action,16.95,2006
329,College Hoops 2K6,Sports,6.95,2006
330,Dynasty Warriors 5: Empires,Action|Role-Playing (RPG)|Strategy,14.95,2006
331,Magical Starsign,Role-Playing (RPG),9.95,2006
332,Resident Evil: Deadly Silence,Action,17.95,2006
333,X-Men: The Official Game,Action,14.95,2006
334,Cabela's African Safari,Sports,17.95,2006
335,Cabela's Alaskan Adventures,Sports,17.95,2006
336,Armored Core 4,Action,19.95,2006
337,Eragon,Action,12.95,2006
338,LostMagic,Action|Role-Playing (RPG),14.95,2006
339,Magnetica,Action|Strategy,17.95,2006
340,Def Jam Fight for NY: The Takeover,Action,17.95,2006
341,NASCAR 07,Racing|Simulation,24.95,2006
342,The Ant Bully,Action,16.95,2006
343,Just Cause,Action|Racing,16.95,2006
344,Onechanbara: Bikini Samurai Squad,Action,19.95,2006
345,Phantasy Star Universe,Role-Playing (RPG),24.95,2006
346,Project Sylpheed: Arc of Deception,Action,14.95,2006
347,Winning Eleven: Pro Evolution Soccer 2007,Sports,11.95,2006
348,Kororinpa: Marble Mania,Action|Strategy,17.95,2006
349,Digimon World DS,Role-Playing (RPG),27.95,2006
350,Justice League Heroes,Action,17.95,2006
351,Innocent Life: A Futuristic Harvest Moon,Role-Playing (RPG)|Simulation|Strategy,17.95,2006
352,Power Stone Collection,Action,14.95,2006
353,EA Replay,Action|Role-Playing (RPG)|Simulation|Sports|Strategy,14.95,2006
354,Open Season,Action,17.95,2006
355,Samurai Warriors 2,Action,14.95,2006
356,Far Cry: Vengeance,Action,16.95,2006
357,Import Tuner Challenge,Racing,17.95,2006
358,Contact,Adventure|Role-Playing (RPG),14.95,2006
359,Touch Detective,Adventure,14.95,2006
360,FIFA Street 2,Sports,17.95,2006
361,007: From Russia with Love,Action|Racing,17.95,2006
362,PaRappa the Rapper,Action,12.95,2006
363,Riviera: The Promised Land,Role-Playing (RPG),17.95,2006
364,Samurai Warriors: State of War,Action,17.95,2006
365,Viewtiful Joe: Red Hot Rumble,Action,14.95,2006
366,Ice Age 2: The Meltdown,Action,17.95,2006
367,Rumble Roses XX,Action|Sports,17.95,2006
368,Bionicle Heroes,Action,16.95,2006
369,Deep Labyrinth,Role-Playing (RPG),10.95,2006
370,Blade Dancer: Lineage of Light,Role-Playing (RPG),16.95,2006
371,Every Extend Extra,Action,11.95,2006
372,Ultimate Ghosts 'N' Goblins,Action,17.95,2006
373,Xiaolin Showdown,Action,14.95,2006
374,Bionicle Heroes,Action,14.95,2006
375,Bullet Witch,Action,16.95,2006
376,Death Jr. II: Root of Evil,Action,14.95,2006
377,Alex Rider: Stormbreaker,Action|Adventure,12.95,2006
378,Cartoon Network Racing,Racing,14.95,2006
379,Guilty Gear: Dust Strikers,Action,14.95,2006
380,Gunpey DS,Strategy,12.95,2006
381,Lara Croft Tomb Raider: Legend,Action|Racing,17.95,2006
382,Worms: Open Warfare,Action|Strategy,17.95,2006
383,Mercury Meltdown,Strategy,12.95,2006
384,MTX Mototrax,Racing|Sports,19.95,2006
385,Snoopy vs. the Red Baron,Action,17.95,2006
386,Super Monkey Ball Adventure,Action|Racing,24.95,2006
387,Ys VI: The Ark of Napishtim,Action|Role-Playing (RPG),16.95,2006
388,Bomberman Land Touch!,Action,24.95,2006
389,Point Blank DS,Action,17.95,2006
390,Scurge: Hive,Action,8.95,2006
391,Star Trek: Tactical Assault,Action|Strategy,17.95,2006
392,Tao's Adventure: Curse of the Demon Seal,Role-Playing (RPG),14.95,2006
393,Ford Bold Moves Street Racing,Racing,17.95,2006
394,Gitaroo Man Lives!,Simulation,22.95,2006
395,Gradius Collection,Action,17.95,2006
396,The Legend of Heroes II: Prophecy of the Moonli...,Role-Playing (RPG),17.95,2006
397,Pac-Man World Rally,Action|Racing,17.95,2006
398,Bomberman: Act Zero,Action,12.95,2006
399,Earth Defense Force 2017,Action,17.95,2006
400,WarTech: Senko no Ronde,Action,12.95,2006
401,MechAssault: Phantom War,Action,12.95,2006
402,Astonishia Story,Role-Playing (RPG)|Strategy,16.95,2006
403,B-Boy,Action,17.95,2006
404,BattleZone,Action,14.95,2006
405,Bounty Hounds,Action|Strategy,17.95,2006
406,Bubble Bobble Evolution,Action,12.95,2006
407,MotoGP,Racing|Sports,32.95,2006
408,OutRun 2006: Coast 2 Coast,Racing,17.95,2006
409,Warhammer: Battle for Atluma,Strategy,17.95,2006
410,SBK: Snowboard Kids,Action|Sports,19.95,2006
411,Tenchu: Dark Secret,Action,14.95,2006
412,Dungeon Maker: Hunting Ground,Action|Role-Playing (RPG),14.95,2006
